id,date,eps,revenue,capex
2503,2020-11-10,46.099133,487213.0,-23139.0
2503,2021-03-30,0.220691,489863.0,-20249.0
2503,2021-05-14,20.353569,409302.0,-18943.0
2503,2021-08-11,8.134577,454722.0,-19690.0
2503,2021-11-11,33.444458,462522.0,-24339.0
2503,2022-03-30,9.792583,495023.0,-23363.0
2503,2022-05-13,20.865298,416745.0,-17909.0
2503,2022-08-10,45.780856,500304.0,-19467.0
2503,2022-11-11,90.515457,540106.0,-25958.0
2801,2020-02-13,42.286535,123872.0,
2801,2020-06-23,16.606588,113120.0,
2801,2020-08-12,36.223655,108090.0,
2801,2020-11-13,39.93249,119432.0,
2801,2021-02-12,46.793526,120741.0,
2801,2021-06-22,39.359701,91148.0,
2801,2021-08-12,60.442939,123739.0,-5017.0
2801,2021-11-12,50.955779,124941.0,-5872.0
2801,2022-02-14,62.56,136179.0,-3367.0
2801,2022-06-21,28.961226,131580.0,-4441.0
2801,2022-08-12,63.314137,147748.0,-4169.0
2801,2022-11-14,58.3,157630.0,-5255.0
2802,2020-02-10,29.33343,293082.0,-15532.0
2802,2020-06-24,-7.902412,268239.0,-17406.0
2802,2020-08-07,40.776157,247927.0,-19301.0
2802,2020-11-10,26.096854,263455.0,-19834.0
2802,2021-02-10,47.396173,283556.0,-27129.0
2802,2021-06-23,-5.909036,276514.0,-10625.0
2802,2021-08-06,40.232358,276338.0,-26112.0
2802,2021-11-04,58.727276,273891.0,-20137.0
2802,2022-01-31,50.660755,303998.0,
2802,2022-06-23,-10.824656,295142.0,
2802,2022-08-08,51.708035,321619.0,-23384.0
2802,2022-11-09,35.953694,338234.0,-15830.0
2897,2020-02-05,116.90865,126683.0,-7704.0
2897,2020-06-25,35.21174,120835.0,-7752.0
2897,2020-08-05,116.107504,120561.0,-7539.0
2897,2020-11-06,94.823853,120570.0,-9200.0
2897,2021-02-03,137.340168,132727.0,-7745.0
2897,2021-06-25,43.649132,132248.0,-6818.0
2897,2021-08-05,76.014798,132457.0,-7440.0
2897,2021-11-05,89.485285,142579.0,-5277.0
2897,2022-02-03,132.575536,149758.0,-5828.0
2897,2022-06-28,45.448877,144927.0,-5213.0
2897,2022-08-04,73.83026,149263.0,-5534.0
2897,2022-11-10,97.092641,167691.0,-5102.0
3003,2020-03-17,32.871731,141558.0,
3003,2020-05-11,19.738801,78024.0,
3003,2020-08-05,21.494606,82241.0,
3003,2020-11-06,1.730632,26095.0,
3003,2021-03-16,52.272121,153285.0,
3003,2021-05-11,18.834819,91494.0,
3003,2021-08-05,34.968394,128573.0,
3003,2021-11-08,6.768184,45382.0,
3003,2022-03-15,38.891383,181628.0,
3003,2022-05-11,24.070314,106928.0,
3003,2022-08-04,24.52436,140501.0,
3003,2022-11-09,15.337858,151779.0,
3402,2020-02-12,12.822892,559063.0,
3402,2020-06-23,-6.530833,533211.0,
3402,2020-08-11,5.910222,397631.0,-33880.0
3402,2020-11-10,-3.118544,458438.0,-31228.0
3402,2021-02-12,14.641488,508137.0,-27225.0
3402,2021-06-22,11.181209,519394.0,-30150.0
3402,2021-08-06,18.574565,513672.0,-22566.0
3402,2021-11-11,19.488799,549306.0,-20349.0
3402,2022-02-14,17.730771,583894.0,-21464.0
3402,2022-06-23,-3.167951,581651.0,-27816.0
3402,2022-08-10,24.937937,605869.0,-23034.0
3402,2022-11-10,11.986875,655925.0,-21783.0
3407,2020-02-13,18.712887,519890.0,-33003.0
3407,2020-06-24,0.074955,563114.0,-40663.0
3407,2020-08-13,9.793209,455159.0,-27239.0
3407,2020-11-13,23.922296,534228.0,-30332.0
3407,2021-02-12,23.925796,547272.0,-28431.0
3407,2021-08-06,33.460801,583433.0,-28938.0
3407,2021-11-12,32.33232,597616.0,-35900.0
3407,2022-02-10,35.586629,643702.0,-28368.0
3407,2022-06-24,15.294556,636566.0,-49050.0
3407,2022-08-10,21.503074,670441.0,-33566.0
3407,2022-11-11,15.776674,680790.0,-44766.0
4005,2020-02-13,4.814664,543175.0,-25124.0
4005,2020-06-24,-4.070336,575071.0,-30085.0
4005,2020-08-11,-4.133947,500188.0,-28543.0
4005,2020-11-11,3.467898,546583.0,-28633.0
4005,2021-02-05,14.082637,595839.0,-32111.0
4005,2021-06-23,14.744694,644368.0,-31525.0
4005,2021-08-11,21.809999,638979.0,-22475.0
4005,2021-11-05,32.553915,686231.0,-25299.0
4005,2022-02-08,27.388169,712667.0,-30439.0
4005,2022-06-23,17.411307,727444.0,-29254.0
4005,2022-08-05,42.809374,774134.0,-37490.0
4005,2022-11-08,6.771394,754429.0,-31424.0
4188,2020-02-13,-3.553461,903077.0,-58428.0
4188,2020-06-24,-15.629819,849743.0,-60121.0
4188,2020-08-11,3.640604,722737.0,-58686.0
4188,2020-11-11,-38.626168,782079.0,-62390.0
4188,2021-02-10,1.307455,850625.0,-55370.0
4188,2021-06-24,28.353041,902094.0,-69964.0
4188,2021-08-10,35.141991,928264.0,-51781.0
4188,2021-11-11,24.79971,956831.0,-59948.0
4188,2022-02-10,26.013415,1015199.0,-63950.0
4188,2022-06-24,38.724069,1076654.0,-69172.0
4188,2022-08-09,31.57571,1106534.0,-64585.0
4188,2022-11-11,20.443288,1163274.0,-60278.0
4021,2020-02-13,20.644337,41576.0,-2388.0
4021,2020-06-25,90.847902,68795.0,-2341.0
4021,2020-08-13,52.374162,49280.0,-2049.0
4021,2020-11-13,43.548048,45214.0,-1976.0
4021,2021-02-12,30.921187,43734.0,-2023.0
4021,2021-06-25,105.009422,70893.0,-2206.0
4021,2021-08-12,61.731145,46499.0,-2812.0
4021,2021-11-12,52.181694,45308.0,-2440.0
4021,2022-02-10,65.660419,49530.0,-977.0
4021,2022-06-28,92.410274,66635.0,-5024.0
4021,2022-08-12,98.12862,58290.0,-3449.0
4021,2022-11-14,69.583382,51241.0,-4954.0
4063,2020-02-13,39.356336,387469.0,
4063,2020-06-29,32.317115,369514.0,
4063,2020-08-12,33.333814,359339.0,
4063,2020-11-12,34.15932,351187.0,
4063,2021-02-10,35.157453,379881.0,
4063,2021-06-30,38.703979,406499.0,
4063,2021-08-12,46.069808,434239.0,
4063,2021-11-11,60.267832,507102.0,
4063,2022-02-10,63.666259,542362.0,
4063,2022-06-30,70.760698,590725.0,
4063,2022-08-09,89.25623,656707.0,
4063,2022-11-11,102.010818,752629.0,
4091,2020-02-12,31.465913,210554.0,-17889.0
4091,2020-06-22,27.687721,216804.0,-18421.0
4091,2020-08-07,17.183012,184503.0,-15242.0
4091,2020-11-10,31.343587,200001.0,-13784.0
4091,2021-02-09,37.705285,207751.0,-14839.0
4091,2021-06-21,41.353939,225982.0,-16210.0
4091,2021-08-06,37.116117,218303.0,-15875.0
4091,2021-11-10,42.121414,229070.0,-17342.0
4091,2022-02-09,36.612532,244161.0,-17126.0
4091,2022-06-20,32.27506,265634.0,-24135.0
4091,2022-08-08,39.94666,276006.0,-19849.0
4091,2022-11-10,41.269599,297693.0,-22767.0
4151,2020-03-12,20.044429,80363.0,-1161.0
4151,2020-05-14,25.777997,77293.0,-3466.0
4151,2020-07-30,25.982234,80526.0,-2648.0
4151,2020-10-30,18.040848,76185.0,-1713.0
4151,2021-03-09,17.756039,84348.0,-2288.0
4151,2021-05-06,24.053298,81115.0,-2960.0
4151,2021-08-03,22.618071,83906.0,-169.0
4151,2021-11-01,14.583645,88948.0,-1769.0
4151,2022-03-08,36.177842,98277.0,-1624.0
4151,2022-05-10,29.84682,87751.0,-4211.0
4151,2022-08-04,35.311695,97520.0,-1462.0
4151,2022-11-04,26.412519,98504.0,-4103.0
4204,2020-02-12,22.713117,266792.0,-11509.0
4204,2020-06-23,41.246163,305947.0,-14071.0
4204,2020-08-07,-1.15423,214751.0,-13390.0
4204,2020-11-10,29.180899,275290.0,-16102.0
4204,2021-02-08,17.586749,266381.0,-12395.0
4204,2021-06-23,46.523023,300138.0,-13472.0
4204,2021-08-06,28.015656,248596.0,-8194.0
4204,2021-11-10,-36.829035,299346.0,-8588.0
4204,2022-02-09,37.431255,290709.0,-9149.0
4204,2022-06-22,54.790726,319294.0,-11066.0
4204,2022-08-08,33.079792,282271.0,-7890.0
4204,2022-11-09,56.222459,325494.0,-12331.0
4217,2020-02-12,35.155293,163070.0,-9923.0
4217,2020-06-23,-2.977677,151735.0,-10258.0
4217,2020-08-07,-419625000.0,126496.0,-11574.0
4217,2020-11-13,677375000.0,144840.0,-10833.0
4452,2020-03-25,92.815211,392911.0,-24010.0
4452,2020-05-13,55.446503,337767.0,-19686.0
4452,2020-08-13,49.768881,329391.0,-15827.0
4452,2020-11-10,73.483331,338102.0,-12119.0
4452,2021-03-26,83.588215,376737.0,-11764.0
4452,2021-05-13,53.609841,320558.0,-16117.0
4452,2021-08-12,56.527219,354621.0,-16533.0
4452,2021-11-12,62.319706,345780.0,-13588.0
4452,2022-03-25,58.173177,397809.0,-13713.0
4452,2022-05-13,38.498629,346795.0,-13589.0
4452,2022-08-10,43.675199,387106.0,-23397.0
4452,2022-11-10,41.654073,393809.0,-14784.0
4568,2020-02-06,35.936026,277459.0,-6229.0
4568,2020-06-15,-2.67846,224761.0,-6966.0
4568,2020-08-06,16.381783,236947.0,-8968.0
4568,2020-11-06,10.183481,243221.0,-5838.0
4568,2021-02-05,12.426571,258622.0,-6992.0
4568,2021-06-21,0.078961,223725.0,-9447.0
4568,2021-08-05,18.378851,264069.0,-16723.0
4568,2021-11-08,14.215373,265895.0,-15234.0
4568,2022-02-04,16.618459,281001.0,-14916.0
4568,2022-06-27,-14.266776,233925.0,-15863.0
4568,2022-08-03,9.834527,280317.0,-14986.0
4568,2022-11-07,20.582938,327480.0,-12467.0
4502,2020-02-04,5.99174,859317.0,-34762.0
4502,2020-06-24,1.106758,771702.0,-37237.0
4502,2020-08-12,52.926645,801850.0,-23135.0
4502,2020-10-29,2.583304,788935.0,-27344.0
4502,2021-02-12,59.077395,836753.0,-24562.0
4502,2021-06-29,126.084297,770274.0,-36165.0
4502,2021-08-06,87.963001,949603.0,-29838.0
4502,2021-11-05,29.243166,844819.0,-30763.0
4502,2022-02-10,36.909917,901294.0,-27072.0
4502,2022-06-29,-7.309755,873289.0,-35579.0
4502,2022-08-04,67.939181,972465.0,-42125.0
4502,2022-11-04,39.771786,1002307.0,-29298.0
4503,2020-02-07,32.799668,338065.0,-14520.0
4503,2020-06-18,2.900456,312308.0,-10185.0
4503,2020-08-07,27.140432,306969.0,-7586.0
4503,2020-11-06,12.072983,308512.0,-6369.0
4503,2021-02-05,32.343732,325427.0,-8960.0
4503,2021-06-18,-6.64208,308621.0,-8469.0
4503,2021-08-06,16.56207,326143.0,-9352.0
4503,2021-11-05,22.085784,325523.0,-8141.0
4503,2022-02-07,32.859159,340627.0,-2746.0
4503,2022-06-20,-4.569537,303870.0,-10500.0
4503,2022-08-05,13.595236,381791.0,-8235.0
4503,2022-11-08,39.297028,380394.0,-5560.0
4507,2020-02-10,127.306183,92637.0,
4507,2020-06-24,103.00549,79857.0,
4507,2020-08-13,70.881043,71402.0,-2602.0
4507,2020-11-12,89.749292,77050.0,-1769.0
4507,2021-02-10,118.948743,75966.0,-5706.0
4507,2021-06-23,85.037547,72758.0,-18105.0
4507,2021-08-10,106.938496,68965.0,-1699.0
4507,2021-11-11,69.296979,76119.0,-4408.0
4507,2022-02-10,59.27034,74540.0,-11472.0
4507,2022-06-24,143.242857,115512.0,-8606.0
4507,2022-08-10,115.171054,71839.0,-5040.0
4507,2022-11-10,74.982786,78939.0,-2390.0
4508,2020-02-07,17.664586,109305.0,-3415.0
4519,2020-03-30,24.454815,177333.0,-31936.0
4519,2020-04-28,31.371052,179424.0,-11090.0
4519,2020-07-30,30.885604,188696.0,-29551.0
4519,2020-10-28,36.581694,208400.0,-6660.0
4519,2021-03-23,31.824867,210426.0,-9739.0
4519,2021-04-27,28.839836,168817.0,-28948.0
4519,2021-07-29,43.016632,221411.0,-6476.0
4519,2021-10-27,52.315224,287264.0,-22715.0
4519,2022-03-29,60.11211,322266.0,-7830.0
4519,2022-04-26,80.137281,360554.0,-34119.0
4519,2022-07-22,44.003795,235612.0,-9481.0
4519,2022-10-25,41.214209,225284.0,-7062.0
4523,2020-02-07,161.45617,186800.0,-2600.0
4523,2020-06-19,169.310175,209556.0,-5557.0
4523,2020-08-07,85.228363,165583.0,-8841.0
4523,2020-11-13,4.787042,151461.0,-3984.0
4523,2021-02-15,67.580061,181288.0,-1640.0
4523,2021-06-18,-10.629613,147610.0,-4683.0
4523,2021-08-06,147.071032,198894.0,-12118.0
4523,2021-11-09,14.036311,163459.0,-6137.0
4523,2022-02-14,49.433185,202972.0,-3763.0
4523,2022-06-17,-43.265642,190901.0,-7013.0
4523,2022-08-05,93.813544,184262.0,-11614.0
4523,2022-11-09,12.443328,174364.0,-2557.0
4528,2020-02-07,38.089113,76291.0,-1329.0
4528,2020-06-19,15.766487,67121.0,-1227.0
4528,2020-08-06,43.067367,74913.0,-2155.0
4528,2020-11-06,36.769022,75561.0,-1152.0
4528,2021-02-12,53.367578,84459.0,-1218.0
4528,2021-06-18,17.906692,74351.0,-2493.0
4528,2021-08-06,48.230377,87363.0,-1196.0
4528,2021-11-05,44.506682,86714.0,-1849.0
4528,2022-02-04,36.827195,97353.0,-883.0
